,CAISO_Demand_MWh,CAISO_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_SO2,delta_NOx
2022-01-06 14:00:00,23629,1675.8154580000005,14,1,134,-26.65439199999946,122.0,71013.26361983968,-28.54763470286099,-80.07918881037335
2022-01-06 15:00:00,24011,1708.029884,15,1,135,32.21442599999955,382.0,1074482.2036458785,66.59355676438253,266.87976527264675
2022-01-06 16:00:00,24810,1170.5158239999998,16,1,136,-537.5140600000002,799.0,1330718.877717046,73.15582498721125,70.10580837478301
2022-01-06 17:00:00,26463,234.626762,17,1,137,-935.8890619999999,1653.0,-281872.5041006254,-40.643185971060234,-178.06828148183683
2022-01-06 18:00:00,28041,35.116398,18,1,138,-199.510364,1578.0,93564.66817838047,20.37066052266158,0.46980328128211113
2022-01-06 19:00:00,27952,35.53301,19,1,139,0.41661200000000065,-89.0,-552676.2872424768,-39.23837731795811,-74.80681004295923
2022-01-06 20:00:00,27264,50.691528,20,1,140,15.158518,-688.0,-389232.4293035902,-53.52930184583437,-106.01829907843046
2022-01-06 21:00:00,26449,68.735426,21,1,141,18.043898000000006,-815.0,-276446.2745620925,-13.774119254056643,-36.16601130940626
2022-01-06 22:00:00,25386,89.965072,22,1,142,21.229646000000002,-1063.0,-274977.61089830846,-5.688623406600868,-2.344949609334435
2022-01-06 23:00:00,23909,92.583824,23,1,143,2.6187520000000006,-1477.0,-239469.74828113616,-3.3386856211398026,-42.50291766461976
2022-01-07 00:00:00,22605,93.008216,0,1,144,0.42439199999999744,-1304.0,-121146.92905756179,-41.471408544785845,-104.41138809543463
2022-01-07 01:00:00,21730,110.555206,1,1,145,17.546989999999994,-875.0,360992.18865512125,63.80245004928565,196.2768520176885
2022-01-07 02:00:00,21193,127.41028,2,1,146,16.855074000000002,-537.0,229830.2146943612,44.522921665675824,64.25369385059378
2022-01-07 03:00:00,20938,168.48689199999998,3,1,147,41.07661199999998,-255.0,223673.25456757657,11.592217533839857,101.70751362469241
2022-01-07 04:00:00,21010,223.833604,4,1,148,55.346712000000025,72.0,280624.168323474,65.66462934255316,135.35400223524027
2022-01-07 05:00:00,21713,256.504652,5,1,149,32.67104800000001,703.0,228998.29117022734,-16.529497097030855,13.404259088390972
2022-01-07 06:00:00,23062,266.10631,6,1,150,9.601657999999986,1349.0,245596.27172963414,-40.344820846813434,-74.92529818962521
2022-01-07 07:00:00,24883,255.78329,7,1,151,-10.323020000000014,1821.0,-499809.4301158171,-47.51014310972346,-137.50346101606317
2022-01-07 08:00:00,25942,491.365956,8,1,152,235.582666,1059.0,-1286444.1947449073,-32.63149634787845,-156.77901004232535
2022-01-07 09:00:00,26245,1297.403242,9,1,153,806.0372860000001,303.0,-885939.9459401825,-12.82547715059701,-92.38352390345221
2022-01-07 10:00:00,25953,1712.697462,10,1,154,415.29422,-292.0,-217685.72629233217,-40.72405413760953,-61.35026098729588
2022-01-07 11:00:00,25484,1799.180572,11,1,155,86.4831099999999,-469.0,7475.161747813225,28.069614733917092,26.869150306591337
2022-01-07 12:00:00,24935,1788.660296,12,1,156,-10.520275999999967,-549.0,-26399.132452189457,-15.216189677530252,-24.76664086648782
2022-01-07 13:00:00,24948,1808.09637,13,1,157,19.436073999999962,13.0,103006.84106561402,-23.586050444739442,-0.6505083344386549
2022-01-07 14:00:00,25028,1720.237524,14,1,158,-87.85884600000009,80.0,349032.4484367473,36.23925727553964,43.98468787318916
2022-01-07 15:00:00,25066,1561.818974,15,1,159,-158.41854999999987,38.0,699942.4689040161,-3.5876329700569727,162.4031276431068
2022-01-07 16:00:00,25449,1103.7008460000002,16,1,160,-458.11812799999984,383.0,1113511.3042142773,118.5618668712433,159.04461638991143
2022-01-07 17:00:00,26609,561.704546,17,1,161,-541.9963000000001,1160.0,-48632.41762037482,75.35474166814367,-65.16774411282609
2022-01-07 18:00:00,27991,506.394574,18,1,162,-55.30997200000007,1382.0,-245925.47761007957,-124.74887483076162,-92.43443705975949
2022-01-07 19:00:00,27835,463.9111040000001,19,1,163,-42.4834699999999,-156.0,-95345.4934294289,-0.23601371824952366,-10.0545392519889
2022-01-07 20:00:00,27203,469.684692,20,1,164,5.773587999999904,-632.0,-263170.188126185,-8.909140321195366,-41.02223014938147
2022-01-07 21:00:00,26416,622.069452,21,1,165,152.38475999999997,-787.0,163812.89704640955,2.5369572493476085,45.725717908976435
2022-01-07 22:00:00,25390,566.117262,22,1,166,-55.95218999999997,-1026.0,-501438.9735241225,-6.095960696695272,-27.2178615966219
2022-01-07 23:00:00,23977,598.969024,23,1,167,32.85176200000001,-1413.0,-252849.28985602828,11.385136058913076,28.848638599338187
2022-01-08 00:00:00,22599,607.370502,0,1,168,8.401477999999997,-1378.0,208860.1087122634,9.687093194246415,13.22536368945839
2022-01-08 01:00:00,21723,571.208416,1,1,169,-36.16208599999993,-876.0,-93989.66280103615,-20.766542001014443,-32.10090820214725
2022-01-08 02:00:00,20940,548.782066,2,1,170,-22.42635000000007,-783.0,325775.17718128674,-7.835108821824122,38.23023963204594
2022-01-08 03:00:00,20524,501.642086,3,1,171,-47.13997999999998,-416.0,260484.2454494657,4.358584052760875,65.80005006207455
2022-01-08 04:00:00,20328,431.871476,4,1,172,-69.77061000000003,-196.0,35743.992235252634,87.26368710462731,57.63120480850432
2022-01-08 05:00:00,20604,499.430148,5,1,173,67.558672,276.0,-141733.7502494743,-4.2267911571129275,-37.780256348991315
2022-01-08 06:00:00,21146,598.6201199999999,6,1,174,99.18997199999995,542.0,-192075.92132772785,-62.96692614227146,-127.42987215429196
2022-01-08 07:00:00,22061,608.0352260000001,7,1,175,9.41510600000015,915.0,23584.661106585525,22.445808393582922,69.56288968730883
2022-01-08 08:00:00,22664,733.0967840000001,8,1,176,125.06155799999999,603.0,-627201.7654757295,-55.828352344304335,-109.96069749460287
2022-01-08 09:00:00,22890,1257.3876880000005,9,1,177,524.2909040000004,226.0,-705133.0345130181,-24.377499042482157,-88.05743108786783
2022-01-08 10:00:00,22342,1644.83214,10,1,178,387.4444519999995,-548.0,-379896.4674346531,2.025296930792308,-9.04750926688746
2022-01-08 11:00:00,21627,1687.592268,11,1,179,42.76012800000012,-715.0,-127937.60764996056,-0.4499244846785473,-12.388424066039306
2022-01-08 12:00:00,20921,1630.503554,12,1,180,-57.08871400000021,-706.0,13640.261041341815,-14.599289652944947,-24.522036328727836
2022-01-08 13:00:00,20463,1623.107036,13,1,181,-7.396517999999787,-458.0,141274.25559225678,6.650736232942961,81.77700446307153
2022-01-08 14:00:00,20435,1624.502412,14,1,182,1.395375999999942,-28.0,291672.58668975206,7.7295843608829955,55.61229646181039
2022-01-08 15:00:00,21004,1574.413852,15,1,183,-50.08856000000014,569.0,711789.2379621831,54.62440274314332,69.40576396281404
2022-01-08 16:00:00,22172,1065.125712,16,1,184,-509.2881399999999,1168.0,1227716.147209195,-29.7082707976204,151.69128164797462
2022-01-08 17:00:00,24100,206.96884800000004,17,1,185,-858.156864,1928.0,391000.4507833058,22.198024240245275,-71.91235474133236
2022-01-08 18:00:00,26093,40.11413,18,1,186,-166.85471800000005,1993.0,-135521.29082141444,-40.125300078664964,-145.57662976980555
2022-01-08 19:00:00,26315,46.906812,19,1,187,6.792681999999999,222.0,-347027.459570569,-33.72492865058598,-112.8028783401345
2022-01-08 20:00:00,25969,66.167526,20,1,188,19.260713999999993,-346.0,8428.982888498344,-4.123898885094576,9.381422236102026
2022-01-08 21:00:00,25421,85.758114,21,1,189,19.59058800000001,-548.0,-302798.0905573815,-27.191360758094703,-62.81390390421393
2022-01-08 22:00:00,24631,94.208464,22,1,190,8.45035,-790.0,-187403.0006240001,-22.669066410418765,-51.44307248560858
2022-01-08 23:00:00,23445,105.30205800000002,23,1,191,11.09359400000001,-1186.0,-126276.56747496873,-1.4865621631255124,58.174642450630586
2022-01-09 00:00:00,22343,123.86542800000002,0,1,192,18.563370000000006,-1102.0,407404.0942560788,18.34964925597626,102.66158667987236
2022-01-09 01:00:00,21567,137.12159,1,1,193,13.256161999999975,-776.0,298949.8620121274,45.11830572011479,188.1171778606756
2022-01-09 02:00:00,20994,139.218276,2,1,194,2.0966860000000054,-573.0,152490.65275693592,71.95582590932696,186.62036301085345
2022-01-09 03:00:00,20645,123.76737799999998,3,1,195,-15.450898000000024,-349.0,-90051.66464777477,-30.816870034609963,-23.72824821551967
2022-01-09 04:00:00,20490,117.448516,4,1,196,-6.3188619999999815,-155.0,-107300.38505806308,25.46408338686416,-45.56852417903019
2022-01-09 05:00:00,20639,123.88968000000004,5,1,197,6.441164000000043,149.0,-81850.75022087246,50.90928067826292,16.177408987547096
2022-01-09 06:00:00,21202,145.430258,6,1,198,21.540577999999968,563.0,-12568.572241294198,-70.52294019703857,-101.37898874943073
2022-01-09 07:00:00,21910,158.01299799999998,7,1,199,12.582739999999973,708.0,-277272.64948170725,-20.041122650975524,-85.56119694849383
2022-01-09 08:00:00,22127,425.404126,8,1,200,267.39112800000004,217.0,-1125157.6791083668,-30.42858523966055,-94.59234714587967
2022-01-09 09:00:00,21667,1279.124942,9,1,201,853.7208159999999,-460.0,-664483.0007077036,-21.01937415057691,-92.96595717555897
2022-01-09 10:00:00,20903,1748.7970300000002,10,1,202,469.67208800000026,-764.0,-178729.80918995477,9.7950368418106,-62.491202188455986
