,ERCOT_Demand_MWh,ERCOT_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_NOx,delta_SO2
2022-01-11 12:00:00,45447.792975,15244.69,12,1,252,195.21000000000095,-1039.5341750000007,-1890446.294502303,-811.4230988833442,-4059.085783734572
2022-01-11 13:00:00,44630.230475,15862.1,13,1,253,617.4099999999999,-817.5625,-1906493.513261687,-899.2774253202024,-2008.195733639226
2022-01-11 14:00:00,44354.76335,16790.949999999997,14,1,254,928.8499999999967,-275.4671249999956,-1750804.6559601203,-666.2120173169133,-210.5402816456699
2022-01-11 15:00:00,44937.600900000005,15679.53,15,1,255,-1111.4199999999964,582.8375500000038,885933.9154485017,-104.43390042336068,1076.077630592008
2022-01-11 16:00:00,46350.52735,11999.93,16,1,256,-3679.6000000000004,1412.9264499999917,4730453.300482955,1970.168858115112,3410.437270148701
2022-01-11 17:00:00,48227.854175,7942.76,17,1,257,-4057.17,1877.3268250000037,4864815.837346934,1636.1130908891791,4211.776684068562
2022-01-11 18:00:00,48251.875975,8876.7,18,1,258,933.9400000000005,24.02180000000226,266193.12709409744,189.60165379093633,2171.1052770570277
2022-01-11 19:00:00,47882.267275,11675.469999999998,19,1,259,2798.769999999997,-369.6087000000043,-2173439.881274417,-778.0881054572055,290.39884451998296
2022-01-11 20:00:00,46701.077475,13784.02,20,1,260,2108.550000000003,-1181.1898,-2280959.27973368,-241.27773328095464,-44.39026298181125
2022-01-11 21:00:00,44477.596025,14256.94,21,1,261,472.9200000000001,-2223.4814499999993,-1353187.5864732563,-252.90564956464914,-9.076606474758592
2022-01-11 22:00:00,42232.018875,14165.87,22,1,262,-91.06999999999971,-2245.5771499999973,-1750356.3254001066,-577.9114935827783,-2148.0495605616015
2022-01-11 23:00:00,40715.4313,14175.14,23,1,263,9.269999999998618,-1516.587575000005,-3360888.031146519,-1906.5391364664592,-6014.776755244144
2022-01-12 00:00:00,40038.46875,13785.859999999995,0,1,264,-389.2800000000043,-676.9625499999966,-887392.2433143966,-426.2960200076013,-21.77663374894837
2022-01-12 01:00:00,39614.3822,12964.859999999995,1,1,265,-821.0,-424.08655,1006148.7952670865,774.8395854056907,1972.875901764779
2022-01-12 02:00:00,39790.725275,12342.24,2,1,266,-622.6199999999953,176.34307499999704,205705.76662977785,404.7892093460978,-279.2716153872352
2022-01-12 03:00:00,40676.12175,11455.96,3,1,267,-886.2800000000007,885.3964750000014,1501771.766633954,1441.150705892369,3729.332373509944
2022-01-12 04:00:00,42766.79655,10224.41,4,1,268,-1231.5499999999993,2090.6748000000007,2137139.762451928,208.3230786850836,1530.3888958260468
2022-01-12 05:00:00,46163.669575,8856.67,5,1,269,-1367.7399999999998,3396.873025000001,3998164.35462334,569.0338154597466,-1411.5964158446986
2022-01-12 06:00:00,48850.2334,8090.889999999999,6,1,270,-765.7800000000007,2686.5638249999975,3207725.3158054724,777.8384601319885,240.2822640327904
2022-01-12 07:00:00,48869.305,6893.63,7,1,271,-1197.2599999999993,19.071600000002945,2471983.8103907406,917.2198117310636,359.0173227920568
2022-01-12 08:00:00,47711.590500000006,7894.35,8,1,272,1000.7200000000003,-1157.7144999999946,-689632.1605269089,1229.1475643447866,-98.23211145508685
2022-01-12 09:00:00,46434.37075,9492.32,9,1,273,1597.9699999999993,-1277.2197500000038,-2280376.942443423,-1389.9589152533536,-729.9484710859979
